userId,movieId,rating
1,31,2.5
1,834,3
1,860,3
1,932,4
1,1042,2
1,1048,2
1,1084,3.5
1,1112,2.5
1,1141,1
1,1516,4
1,1666,4
1,1709,3
1,1744,2
1,1963,2.5
1,2381,1
1,2926,3
2,10,4
2,17,5
2,38,5
2,46,4
2,49,4
2,50,3
2,59,3
2,124,3
2,130,5
2,148,3
2,164,3
2,165,3
2,185,3
2,196,5
2,208,3
2,226,4
2,234,4
2,239,5
2,245,3
2,246,4
2,267,4
2,269,3
2,281,4
2,284,2
2,315,4
2,316,4
2,322,3
2,323,3
2,332,3
2,335,2
2,336,3
2,337,3
2,342,3
2,347,3
2,362,3
2,404,4
2,407,3
2,428,4
2,445,3
2,448,4
2,456,4
2,462,4
2,473,4
2,482,4
2,484,3
2,494,3
2,519,5
2,521,3
2,523,5
2,524,5
2,525,5
2,526,3
2,544,3
2,568,4
2,608,4
3,220,3.5
3,285,5
3,321,2.5
3,322,5
3,342,2.5
3,525,3
3,526,3
3,528,2
3,618,3.5
3,643,4
3,700,3
3,967,3
3,991,4
3,1119,4
3,1254,3.5
3,1456,4
3,1591,4
3,2163,3.5
3,2174,3
3,2213,3.5
3,2274,4
3,2375,5
3,2805,4
3,3158,5
3,4605,3
3,5018,2.5
3,5117,3
3,6364,3.5
3,6537,4.5
3,6580,4.5
3,6893,3
3,7709,4
4,10,4
4,103,5
4,123,5
4,133,4
4,153,3
4,164,3
4,233,5
4,260,4
4,267,5
4,295,3
4,315,5
4,322,5
4,329,5
4,332,4
4,345,3
4,362,3
4,381,3
4,385,1
4,390,4
4,392,4
4,413,4
4,486,5
4,522,5
4,523,5
4,524,3
4,527,5
4,529,5
4,538,4
4,544,5
4,696,5
4,725,5
4,735,5
4,821,4
4,827,5
4,833,5
4,835,5
4,836,5
4,837,5
4,838,5
4,841,5
4,881,5
4,889,5
4,905,5
4,913,5
4,953,5
4,954,5
4,955,5
4,956,5
4,958,5
4,963,5
4,965,5
4,967,5
4,970,5
4,976,5
4,977,5
4,979,5
4,982,5
4,986,5
4,1020,5
